 						Playing Time		 	Performance						 	Per 90 Minutes	
Rk 	Player 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
165	Ivan Bašić	MF	ba Bosnia-Herzegovina	23	2002	7	2	288	3.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
166	Esmir Bajraktarevic	MF	ba Bosnia-Herzegovina	20	2005	7	4	510	5.7	1	1	2	1	0	0	0	0	0.18	0.18	0.35	0.18	0.35	Matches
167	Kerim Alajbegović	MF,FW	ba Bosnia-Herzegovina	18	2007	7	2	359	4.0	1	1	2	1	0	0	1	0	0.25	0.25	0.50	0.25	0.50	Matches
168	Axel Witsel	DF,MF	be Belgium	37	1989	2	0	41	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
169	Romeo Vermant	FW	be Belgium	22	2004	1	0	2	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
170	Charles Vanhoutte	MF	be Belgium	27	1998	1	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
171	Hans Vanaken	MF	be Belgium	33	1992	7	5	424	4.7	2	1	3	2	0	0	0	0	0.42	0.21	0.64	0.42	0.64	Matches
172	Leandro Trossard	MF,FW	be Belgium	31	1994	7	5	395	4.4	1	0	1	1	0	0	1	0	0.23	0.00	0.23	0.23	0.23	Matches
173	Youri Tielemans	MF	be Belgium	28	1997	6	4	384	4.3	3	1	4	2	1	1	0	0	0.70	0.23	0.94	0.47	0.70	Matches
174	Arthur Theate	DF	be Belgium	25	2000	8	6	588	6.5	1	0	1	1	0	0	1	0	0.15	0.00	0.15	0.15	0.15	Matches
175	Joaquin Seys	DF	be Belgium	20	2005	2	1	82	0.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
176	Matz Sels	GK	be Belgium	33	1992	3	3	270	3.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
177	Alexis Saelemaekers	FW,MF	be Belgium	26	1999	7	3	287	3.2	1	4	5	1	0	0	1	0	0.31	1.25	1.57	0.31	1.57	Matches
178	Nicolas Raskin	MF	be Belgium	24	2001	7	6	533	5.9	1	0	1	1	0	0	1	0	0.17	0.00	0.17	0.17	0.17	Matches
179	Loïs Openda	FW	be Belgium	25	2000	5	1	152	1.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
180	Amadou Onana	MF	be Belgium	24	2001	5	3	281	3.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
181	Diego Moreira	MF	be Belgium	21	2004	2	0	28	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
182	Thomas Meunier	DF	be Belgium	34	1991	7	5	351	3.9	2	2	4	2	0	0	2	0	0.51	0.51	1.03	0.51	1.03	Matches
183	Brandon Mechele	DF	be Belgium	33	1993	2	1	100	1.1	1	0	1	1	0	0	0	0	0.90	0.00	0.90	0.90	0.90	Matches
184	Dodi Lukebakio	FW,MF	be Belgium	28	1997	2	0	49	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
185	Romelu Lukaku	FW	be Belgium	32	1993	2	2	171	1.9	1	0	1	0	1	1	0	0	0.53	0.00	0.53	0.00	0.00	Matches
186	Senne Lammens	GK	be Belgium	23	2002	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
187	Malick Fofana	MF	be Belgium	20	2005	4	1	145	1.6	1	0	1	1	0	0	0	0	0.62	0.00	0.62	0.62	0.62	Matches
188	Wout Faes	DF	be Belgium	27	1998	2	2	180	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
189	Jeremy Doku	MF,FW	be Belgium	23	2002	8	8	642	7.1	5	3	8	5	0	0	0	0	0.70	0.42	1.12	0.70	1.12	Matches
190	Zeno Debast	DF	be Belgium	22	2003	6	6	540	6.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
191	Koni De Winter	DF	be Belgium	23	2002	3	1	200	2.2	0	1	1	0	0	0	0	0	0.00	0.45	0.45	0.00	0.45	Matches
192	Charles De Ketelaere	FW	be Belgium	24	2001	5	4	329	3.7	2	3	5	2	0	0	0	0	0.55	0.82	1.37	0.55	1.37	Matches
193	Maxim De Cuyper	DF	be Belgium	25	2000	7	6	414	4.6	2	2	4	2	0	0	1	0	0.43	0.43	0.87	0.43	0.87	Matches
194	Kevin De Bruyne	MF	be Belgium	34	1991	6	6	463	5.1	6	1	7	4	2	2	1	0	1.17	0.19	1.36	0.78	0.97	Matches
195	Thibaut Courtois	GK	be Belgium	33	1992	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
196	Timothy Castagne	DF	be Belgium	30	1995	6	4	413	4.6	0	2	2	0	0	0	0	0	0.00	0.44	0.44	0.00	0.44	Matches
259	Andi Zeqiri	FW	ch Switzerland	26	1999	2	0	23	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
260	Denis Zakaria	DF,MF	ch Switzerland	29	1996	2	0	29	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
261	Granit Xhaka	MF	ch Switzerland	33	1992	6	6	525	5.8	2	0	2	0	2	2	0	0	0.34	0.00	0.34	0.00	0.00	Matches
262	Silvan Widmer	DF	ch Switzerland	32	1993	6	6	450	5.0	1	0	1	1	0	0	1	0	0.20	0.00	0.20	0.20	0.20	Matches
263	Ruben Vargas	FW,MF	ch Switzerland	27	1998	6	6	431	4.8	1	3	4	1	0	0	0	0	0.21	0.63	0.84	0.21	0.84	Matches
264	Djibril Sow	MF	ch Switzerland	28	1997	4	2	202	2.2	0	1	1	0	0	0	0	0	0.00	0.45	0.45	0.00	0.45	Matches
265	Simon Sohm	MF	ch Switzerland	24	2001	2	0	16	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
266	Isaac Schmidt	DF,MF	ch Switzerland	26	1999	2	0	45	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
267	Ricardo Rodríguez	DF	ch Switzerland	33	1992	6	6	431	4.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
268	Fabian Rieder	MF	ch Switzerland	23	2002	6	4	312	3.5	0	2	2	0	0	0	0	0	0.00	0.58	0.58	0.00	0.58	Matches
269	Dan Ndoye	FW,MF	ch Switzerland	25	2000	5	5	442	4.9	2	3	5	2	0	0	1	0	0.41	0.61	1.02	0.41	1.02	Matches
270	Miro Muheim	DF,MF	ch Switzerland	27	1998	3	0	94	1.0	0	1	1	0	0	0	1	0	0.00	0.96	0.96	0.00	0.96	Matches
271	Johan Manzambi	FW	ch Switzerland	20	2005	6	1	192	2.1	2	0	2	2	0	0	0	0	0.94	0.00	0.94	0.94	0.94	Matches
272	Gregor Kobel	GK	ch Switzerland	28	1997	6	6	540	6.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
273	Luca Jaquez	DF	ch Switzerland	22	2003	1	0	17	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
274	Cedric Itten	FW,MF	ch Switzerland	29	1996	1	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
275	Remo Freuler	MF	ch Switzerland	33	1992	4	4	360	4.0	0	2	2	0	0	0	0	0	0.00	0.50	0.50	0.00	0.50	Matches
276	Christian Fassnacht	FW,MF	ch Switzerland	32	1993	2	0	8	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
277	Breel Embolo	FW	ch Switzerland	28	1997	6	6	483	5.4	4	0	4	4	0	0	0	0	0.75	0.00	0.75	0.75	0.75	Matches
278	Nico Elvedi	DF	ch Switzerland	29	1996	6	6	540	6.0	1	0	1	1	0	0	0	0	0.17	0.00	0.17	0.17	0.17	Matches
279	Adrian Bajrami	DF	ch Switzerland	23	2002	1	0	14	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
280	Manuel Akanji	DF	ch Switzerland	30	1995	6	6	540	6.0	1	0	1	1	0	0	1	0	0.17	0.00	0.17	0.17	0.17	Matches
281	Michel Aebischer	MF	ch Switzerland	29	1997	4	2	240	2.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
311	David Zima	DF	cz Czechia	25	2000	2	1	158	1.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
312	Jaroslav Zelený	DF,MF	cz Czechia	33	1992	8	8	682	7.6	0	3	3	0	0	0	2	0	0.00	0.40	0.40	0.00	0.40	Matches
313	Matěj Vydra	FW	cz Czechia	33	1992	2	1	74	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
314	Martin Vitík	DF	cz Czechia	23	2003	2	2	180	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
315	Pavel Šulc	MF,FW	cz Czechia	25	2000	9	9	764	8.5	2	1	3	2	0	0	0	0	0.24	0.12	0.35	0.24	0.35	Matches
316	Jindřich Staněk	GK	cz Czechia	29	1996	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
317	Tomáš Souček	MF	cz Czechia	30	1995	10	9	892	9.9	2	1	3	2	0	0	0	0	0.20	0.10	0.30	0.20	0.30	Matches
318	Matej Sin	MF	cz Czechia	21	2004	1	0	12	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
319	Patrik Schick	FW,MF	cz Czechia	30	1996	8	8	670	7.4	5	0	5	4	1	1	0	0	0.67	0.00	0.67	0.54	0.54	Matches
320	Michal Sadílek	MF	cz Czechia	26	1999	7	1	203	2.3	0	1	1	0	0	0	0	0	0.00	0.44	0.44	0.00	0.44	Matches
321	Lukáš Provod	MF	cz Czechia	29	1996	9	6	644	7.2	0	1	1	0	0	0	0	0	0.00	0.14	0.14	0.00	0.14	Matches
322	Ondřej Lingr	FW,MF	cz Czechia	27	1998	1	0	15	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
323	Vasil Kušej	MF	cz Czechia	25	2000	5	3	190	2.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
324	Jan Kuchta	FW	cz Czechia	29	1997	2	0	19	0.2	0	1	1	0	0	0	0	0	0.00	4.74	4.74	0.00	4.74	Matches
325	Ladislav Krejčí	DF	cz Czechia	26	1999	9	9	870	9.7	2	1	3	2	0	0	2	0	0.21	0.10	0.31	0.21	0.31	Matches
326	Alex Král	MF	cz Czechia	27	1998	4	0	73	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
327	Matej Kovar	GK	cz Czechia	25	2000	9	9	870	9.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
328	Jan Kliment	FW,MF	cz Czechia	32	1993	2	0	46	0.5	1	0	1	1	0	0	0	0	1.96	0.00	1.96	1.96	1.96	Matches
329	Adam Karabec	MF	cz Czechia	22	2003	3	1	173	1.9	2	0	2	2	0	0	0	0	1.04	0.00	1.04	1.04	1.04	Matches
330	David Jurásek	MF,DF	cz Czechia	25	2000	3	2	216	2.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
331	Václav Jemelka	DF	cz Czechia	30	1995	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
332	Robin Hranáč	DF	cz Czechia	26	2000	4	3	372	4.1	1	0	1	1	0	0	1	0	0.24	0.00	0.24	0.24	0.24	Matches
333	Tomáš Holeš	DF	cz Czechia	32	1993	5	5	337	3.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
334	Adam Hložek	MF	cz Czechia	23	2002	1	1	27	0.3	1	0	1	1	0	0	0	0	3.33	0.00	3.33	3.33	3.33	Matches
335	David Doudera	MF,DF	cz Czechia	27	1998	4	2	153	1.7	1	1	2	1	0	0	0	0	0.59	0.59	1.18	0.59	1.18	Matches
336	Vladimír Darida	MF	cz Czechia	35	1990	2	2	104	1.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
337	Kryštof Daněk	MF	cz Czechia	23	2003	1	0	34	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
338	Vladimír Coufal	DF,MF	cz Czechia	33	1992	9	9	820	9.1	1	1	2	1	0	0	2	0	0.11	0.11	0.22	0.11	0.22	Matches
339	Mojmír Chytil	FW	cz Czechia	26	1999	3	0	104	1.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
340	Jan Chramosta	FW	cz Czechia	35	1990	1	0	4	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
341	Tomáš Chorý	FW	cz Czechia	31	1995	9	4	432	4.8	1	3	4	1	0	0	1	0	0.21	0.62	0.83	0.21	0.83	Matches
342	Štěpán Chaloupek	DF	cz Czechia	22	2003	3	1	218	2.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
