 						Playing Time		 	Performance 							Per 90 Minutes	
Rk 	Player 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
475	Omid Noorafkan	MF,DF	ir IR Iran	28	1997	12	5	581	6.5	1	2	3	1	0	0	0	0	0.15	0.31	0.46	0.15	0.46	Matches
476	Payam Niazmand	GK	ir IR Iran	30	1995	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
477	Ali Nemati	DF	ir IR Iran	29	1996	8	5	505	5.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
478	Mohammadmehdi Mohebi	MF,FW	ir IR Iran	25	2000	2	2	152	1.7	1	1	2	1	0	0	0	0	0.59	0.59	1.18	0.59	1.18	Matches
479	Mohammad Mohebbi	MF,FW	ir IR Iran	27	1998	9	9	725	8.1	6	1	7	6	0	0	2	0	0.74	0.12	0.87	0.74	0.87	Matches
480	Milad Mohammadi	DF	ir IR Iran	32	1993	14	13	1,128	12.5	0	1	1	0	0	0	3	1	0.00	0.08	0.08	0.00	0.08	Matches
481	Mehrdad Mohammadi	FW,MF	ir IR Iran	32	1993	1	0	16	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
482	Shahriar Moghanlou	MF	ir IR Iran	31	1994	8	0	132	1.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
483	Shoja' Khalilzadeh	DF	ir IR Iran	36	1989	13	13	1,131	12.6	0	0	0	0	0	0	1	1	0.00	0.00	0.00	0.00	0.00	Matches
484	Mohammad Karimi	MF	ir IR Iran	29	1996	7	4	289	3.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
485	Ali Karimi	MF	ir IR Iran	31	1994	1	0	47	0.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
486	Hossein Kanaanizadegan	DF	ir IR Iran	31	1994	10	9	847	9.4	2	1	3	2	0	0	2	0	0.21	0.11	0.32	0.21	0.32	Matches
487	Abolfazl Jalali	DF	ir IR Iran	27	1998	2	1	68	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
488	Alireza Jahanbakhsh	MF	ir IR Iran	32	1993	10	7	646	7.2	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
489	Amirhossein Hosseinzadeh	MF	ir IR Iran	25	2000	4	1	95	1.1	1	0	1	1	0	0	0	0	0.95	0.00	0.95	0.95	0.95	Matches
490	Javad Hosseinnezhad	MF	ir IR Iran	22	2003	3	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
491	Hossein Hosseini	GK	ir IR Iran	33	1992	2	2	180	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
492	Amin Hazbavi	DF	ir IR Iran	22	2003	4	3	255	2.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
