Rk 	Player 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
342	Willy Boly	DF	ci Côte d'Ivoire	34	1991	4	4	360	4.0	0	2	2	0	0	0	0	0	0.00	0.50	0.50	0.00	0.50	Matches
343	Jeremie Boga	MF,FW	ci Côte d'Ivoire	29	1997	3	2	175	1.9	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
344	Vakoun Bayo	FW	ci Côte d'Ivoire	29	1997	3	1	93	1.0	1	0	1	1	0	0	0	0	0.97	0.00	0.97	0.97	0.97	Matches
345	Serge Aurier	DF	ci Côte d'Ivoire	33	1992	2	2	180	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
346	Clément Akpa	DF	ci Côte d'Ivoire	24	2001	2	0	60	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
347	Jean-Eudes Aholou	MF	ci Côte d'Ivoire	31	1994	1	1	64	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
348	Emmanuel Agbadou	DF	ci Côte d'Ivoire	28	1997	5	4	300	3.3	1	1	2	1	0	0	1	0	0.30	0.30	0.60	0.30	0.60	Matches
349	Simon Adingra	MF,FW	ci Côte d'Ivoire	24	2002	10	5	484	5.4	2	3	5	2	0	0	1	0	0.37	0.56	0.93	0.37	0.93	Matches
389	Yannick	MF	cv Cape Verde	30	1995	6	6	464	5.2	1	0	1	1	0	0	0	0	0.19	0.00	0.19	0.19	0.19	Matches
390	Vozinha	GK	cv Cape Verde	39	1986	10	10	900	10.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
391	Hélio Varela	FW	cv Cape Verde	23	2002	8	0	200	2.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
392	Heriberto Tavares	FW	cv Cape Verde	28	1997	2	1	59	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
393	David Tavares	MF	cv Cape Verde	26	1999	1	0	14	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
394	Aílson Tavares	MF	cv Cape Verde	27	1998	2	0	27	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
395	Stopira	DF	cv Cape Verde	37	1988	1	0	5	0.1	1	0	1	1	0	0	1	0	18.00	0.00	18.00	18.00	18.00	Matches
396	Willy Semedo	MF,DF	cv Cape Verde	31	1994	8	5	435	4.8	2	0	2	2	0	0	1	0	0.41	0.00	0.41	0.41	0.41	Matches
397	Garry Rodrigues	FW	cv Cape Verde	35	1990	5	3	252	2.8	0	1	1	0	0	0	0	0	0.00	0.36	0.36	0.00	0.36	Matches
398	Kenny Rocha Santos	MF	cv Cape Verde	26	2000	1	1	60	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
399	Wagner Pina	DF	cv Cape Verde	23	2002	2	2	180	2.0	0	1	1	0	0	0	0	0	0.00	0.50	0.50	0.00	0.50	Matches
400	Kevin Pina	MF	cv Cape Verde	29	1997	7	7	617	6.9	0	2	2	0	0	1	1	0	0.00	0.29	0.29	0.00	0.29	Matches
401	Pico	DF	cv Cape Verde	33	1992	9	9	810	9.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
402	João Paulo Fernandes	DF	cv Cape Verde	27	1998	8	7	620	6.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
403	Steven Moreira	DF	cv Cape Verde	31	1994	6	6	540	6.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
404	Jamiro Monteiro	MF,FW	cv Cape Verde	32	1993	10	7	604	6.7	2	1	3	2	0	0	0	0	0.30	0.15	0.45	0.30	0.45	Matches
405	Ryan Mendes	MF	cv Cape Verde	36	1990	9	7	576	6.4	1	1	2	1	0	0	1	0	0.16	0.16	0.31	0.16	0.31	Matches
406	Diogo Mendes	MF	cv Cape Verde	28	1998	1	0	9	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
407	Dailon Livramento	FW	cv Cape Verde	24	2001	8	4	465	5.2	4	0	4	4	0	0	1	0	0.77	0.00	0.77	0.77	0.77	Matches
