 	                                        Playing Time 	                Performance 	                                                Per 90 Minutes	
Rk 	Player 	Pos 	Squad Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
212	Kevin Mier	GK	co Colombia	25	2000	3	3	270	3.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
213	Roger Martínez	FW	co Colombia	31	1994	1	1	22	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
214	Deiver Machado	DF	co Colombia	32	1993	5	5	405	4.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
215	Jhon Lucumí	DF	co Colombia	27	1998	14	14	1,260	14.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
216	Jefferson Lerma	MF	co Colombia	31	1994	14	12	1,086	12.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
217	Luis Javier Suárez	FW	co Colombia	28	1997	2	1	113	1.3	4	0	4	4	0	0	0	0	3.19	0.00	3.19	3.19	3.19	Matches
218	Marino Hinestroza	MF	co Colombia	23	2002	2	0	33	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
219	Andrés Gómez	MF	co Colombia	23	2002	2	0	10	0.1	1	0	1	1	0	0	0	0	9.00	0.00	9.00	9.00	9.00	Matches
220	Andrés Felipe Román	DF,FW	co Colombia	30	1995	1	0	34	0.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
221	Frank Fabra	DF	co Colombia	34	1991	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
222	Jáder Durán	FW	co Colombia	22	2003	10	4	445	4.9	2	1	3	2	0	0	5	0	0.40	0.20	0.61	0.40	0.61	Matches
223	Willer Ditta	DF	co Colombia	29	1997	2	1	95	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
224	Luis Díaz	FW,MF	co Colombia	29	1997	17	17	1,465	16.3	7	3	10	7	0	1	2	0	0.43	0.18	0.61	0.43	0.61	Matches
225	Álvaro David Montero	GK	co Colombia	30	1995	2	1	91	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
